machine_id,number,element,要素名,情報,大項目
1,1,machine_name_jp,機種名（日本語）,,機種マスタ（共通リファレンス）
1,2,machine_name_kana,機種名（カナ）,,機種マスタ（共通リファレンス）
1,3,machine_name_en,機種名（英語）,,機種マスタ（共通リファレンス）
1,4,series_name,シリーズ名,,機種マスタ（共通リファレンス）
1,5,manufacturer_id,メーカーID,,機種マスタ（共通リファレンス）
1,6,manufacturer_name,メーカー名,,機種マスタ（共通リファレンス）
1,7,release_date,発表日,,機種マスタ（共通リファレンス）
1,8,market_intro_date,市場導入日,,機種マスタ（共通リファレンス）
1,9,spec_version,スペックバージョン,,機種マスタ（共通リファレンス）
1,10,copyright_type,版権種別,,機種マスタ（共通リファレンス）
1,11,machine_type,機種タイプ,,機種マスタ（共通リファレンス）
1,12,max_payout,最大払出,,機種マスタ（共通リファレンス）
1,13,rtp_percentage,機械割,,機種マスタ（共通リファレンス）
1,14,volatility,ボラティリティ,,機種マスタ（共通リファレンス）
1,15,theme_category,テーマカテゴリ,,機種マスタ（共通リファレンス）
1,16,game_features,ゲーム性,,機種マスタ（共通リファレンス）
1,17,bonus_type,ボーナス種別,,機種マスタ（共通リファレンス）
1,18,art_type,ART種別,,機種マスタ（共通リファレンス）
1,19,setting_range,設定範囲,,機種マスタ（共通リファレンス）
1,20,coin_value,コイン単価,,機種マスタ（共通リファレンス）
1,21,reel_configuration,リール構成,,機種マスタ（共通リファレンス）
1,22,payline_count,ペイライン数,,機種マスタ（共通リファレンス）
1,23,jackpot_type,ジャックポット種別,,機種マスタ（共通リファレンス）
1,24,progressive_feature,プログレッシブ機能,,機種マスタ（共通リファレンス）
1,25,sound_system,サウンドシステム,,機種マスタ（共通リファレンス）
1,26,lcd_specification,液晶仕様,,機種マスタ（共通リファレンス）
1,27,control_panel,操作パネル,,機種マスタ（共通リファレンス）
1,28,cabinet_design,筐体デザイン,,機種マスタ（共通リファレンス）
1,29,weight_specification,重量仕様,,機種マスタ（共通リファレンス）
1,30,power_consumption,消費電力,,機種マスタ（共通リファレンス）
1,31,certification_info,認定情報,,機種マスタ（共通リファレンス）
1,32,compliance_standard,適合規格,,機種マスタ（共通リファレンス）
1,33,maintenance_cycle,メンテナンス周期,,機種マスタ（共通リファレンス）
1,34,parts_availability,部品供給期間,,機種マスタ（共通リファレンス）
1,35,warranty_period,保証期間,,機種マスタ（共通リファレンス）
1,36,installation_requirements,設置要件,,機種マスタ（共通リファレンス）
1,37,network_capability,ネットワーク機能,,機種マスタ（共通リファレンス）
1,38,data_management,データ管理機能,,機種マスタ（共通リファレンス）
1,39,security_features,セキュリティ機能,,機種マスタ（共通リファレンス）
1,40,accessibility_features,アクセシビリティ機能,,機種マスタ（共通リファレンス）
1,41,environmental_rating,環境対応,,機種マスタ（共通リファレンス）
1,42,discontinuation_date,製造終了日,,機種マスタ（共通リファレンス）
