event_id,number,element,要素名,情報,重要度
E001,1,event_name,イベント名,某誌取材,高
E001,2,event_type,イベントタイプ,取材,高
E001,3,expected_bonus,期待値係数,1.5,高
E001,4,description,説明,大手パチスロ雑誌の取材イベント,中
E001,5,day_1,1日,,
E001,6,day_2,2日,,
E001,7,day_3,3日,,
E001,8,day_4,4日,,
E001,9,day_5,5日,,
E001,10,day_6,6日,,
E001,11,day_7,7日,,
E001,12,day_8,8日,,
E001,13,day_9,9日,,
E001,14,day_10,10日,,
E001,15,day_11,11日,,
E001,16,day_12,12日,,
E001,17,day_13,13日,,
E001,18,day_14,14日,"[{""year"": 2025, ""month"": 2, ""store_id"": ""001"", ""store_name"": ""アイランド秋葉原店""}]",高
E001,19,day_15,15日,"[{""year"": 2025, ""month"": 3, ""store_id"": ""001"", ""store_name"": ""アイランド秋葉原店""}]",高
E001,20,day_16,16日,,
E001,21,day_17,17日,,
E001,22,day_18,18日,,
E001,23,day_19,19日,,
E001,24,day_20,20日,,
E001,25,day_21,21日,,
E001,26,day_22,22日,,
E001,27,day_23,23日,,
E001,28,day_24,24日,"[{""year"": 2025, ""month"": 1, ""store_id"": ""001"", ""store_name"": ""アイランド秋葉原店""}]",高
E001,29,day_25,25日,,
E001,30,day_26,26日,,
E001,31,day_27,27日,,
E001,32,day_28,28日,,
E001,33,day_29,29日,,
E001,34,day_30,30日,,
E001,35,day_31,31日,,
