machine_id,number,element,要素名,情報,大項目
M001,1,machine_name_jp,機種名（日本語）,スマスロ ゴッドイーター リザレクション,機種マスタ（共通リファレンス）
M001,2,machine_name_kana,機種名（カナ）,スマスロ ゴッドイーター リザレクション,機種マスタ（共通リファレンス）
M001,3,series_name,シリーズ名,,機種マスタ（共通リファレンス）
M001,4,maker_name,メーカー名,,機種マスタ（共通リファレンス）
M001,5,market_in_date,市場導入日,,機種マスタ（共通リファレンス）
M001,6,play_type,遊技区分,,機種マスタ（共通リファレンス）
M001,7,smart_flag,スマート遊技機フラグ,,機種マスタ（共通リファレンス）
M001,8,settings_count,設定段階数,,機種マスタ（共通リファレンス）
M001,9,base_per_50coins,50枚ベース,,機種マスタ（共通リファレンス）
M001,10,at_type,ATタイプ,,機種マスタ（共通リファレンス）
M001,11,payout_set_1,出玉率（設定1）,,機種マスタ（共通リファレンス）
M001,12,payout_set_2,出玉率（設定2）,,機種マスタ（共通リファレンス）
M001,13,payout_set_3,出玉率（設定3）,,機種マスタ（共通リファレンス）
M001,14,payout_set_4,出玉率（設定4）,,機種マスタ（共通リファレンス）
M001,15,payout_set_5,出玉率（設定5）,,機種マスタ（共通リファレンス）
M001,16,payout_set_6,出玉率（設定6）,,機種マスタ（共通リファレンス）
M001,17,payout_set_7,出玉率（設定その他）,,機種マスタ（共通リファレンス）
M001,18,bonus_prob_bb_set1,BB確率（設定1）,,機種マスタ（共通リファレンス）
M001,19,bonus_prob_rb_set1,RB確率（設定1）,,機種マスタ（共通リファレンス）
M001,20,at_initial_g,AT初期ゲーム数,,機種マスタ（共通リファレンス）
M001,21,install_rate_nationwide,全国設置率,,機種マスタ（共通リファレンス）
