store_id,number,element,要素名,情報,大項目,重要度
001,2,official_store_name_image,正式名称,パチンコ＆スロット アイランド秋葉原店,識別・名称,A
001,3,store_nickname_image,略称,"アイランド秋葉原店,アイランド,🏝,AIRA,アイラ,アイラちゃん,島（しま）,アキバアイランド,アイランド秋葉",識別・名称,A
001,4,chain_group_name_image,系列,アイランド（株式会社アイランド）,識別・名称,A
001,5,official_store_name,正式店舗名,パチンコ＆スロット アイランド秋葉原店,識別・名称,A
001,6,chain_name,チェーン名,"アイランド,1円劇場,スーパー1円劇場",識別・名称,A
001,7,prefecture_image,都道府県,東京都,所在地・座標,A
001,8,city_image,市区町村,千代田区,所在地・座標,A
001,9,address_details_image,詳細住所,"東京都千代田区外神田4-3-3 ミナミビル 1F/B1F,東京都千代田区外神田4 - 3 - 3 ドン・キホーテビル1F・B1F",所在地・座標,A
001,10,postal_code,郵便番号,101-0021,所在地・座標,A
001,11,address_number,番地・号,外神田4-3-3,所在地・座標,A
001,12,building_name_floor,建物名・フロア,"ミナミビル 1F/B1F,ドン・キホーテビル1F・B1F",所在地・座標,A
001,13,latitude,緯度,35.700806,所在地・座標,A
001,14,longitude,経度,139.771861,所在地・座標,A
001,15,location_accuracy_meters,位置情報精度（m）,10,所在地・座標,A
001,16,nearest_station_image,最寄駅,秋葉原駅・末広町駅,交通・アクセス,A
001,17,distance_from_station_image,駅からの距離,約340m,交通・アクセス,A
001,18,parking_availability_image,駐車場,なし,交通・アクセス,A
001,19,nearest_station_name,最寄り駅名,秋葉原駅,交通・アクセス,A
001,20,train_line_name,路線名,"JR山手線・京浜東北線・総武線、東京メトロ銀座線",交通・アクセス,A
001,21,station_exit_number,駅出口（◯番出口）,電気街口,交通・アクセス,A
001,22,walk_minutes_from_station,駅から徒歩分数,5分,交通・アクセス,A
001,23,nearest_bus_stop_route,最寄りバス停・路線,null,交通・アクセス,A
001,24,expressway_ic_name,高速 IC 名,null,交通・アクセス,A
001,25,drive_minutes_from_ic,車での所要分数,null,交通・アクセス,A
001,26,parking_capacity,駐車場台数,null,交通・アクセス,A
001,27,multistory_parking_height_limit_meters,立体駐車場高さ制限（m）,null,交通・アクセス,A
001,28,bicycle_parking_capacity,駐輪場台数,0,交通・アクセス,A
001,29,motorcycle_parking_capacity,バイク置き場台数,0,交通・アクセス,A
001,30,ev_charging_ports_count,EV 充電ポート数,0,交通・アクセス,A
001,31,phone_number,電話番号,03-5209-1300,連絡先・Web／SNS,A
001,32,fax_number,FAX,akiba@p-island.net,連絡先・Web／SNS,A
001,33,email_address,メールアドレス,03-5733-0346,連絡先・Web／SNS,A
001,34,official_website_url,公式サイト URL,https://www.akiba-island.com,連絡先・Web／SNS,A
001,35,pworld_page_url,P-WORLD ページ URL,https://www.p-world.co.jp/tokyo/island.htm,連絡先・Web／SNS,A
001,36,hall_navi_url,ホールナビ URL,https://hall-navi.com/hole_view?hid=101002100000004330,連絡先・Web／SNS,A
001,37,x_url,X（旧 Twitter）URL,https://twitter.com/akiba_island,連絡先・Web／SNS,A
001,38,instagram_url,Instagram URL,https://www.instagram.com/explore/locations/111747882711694/,連絡先・Web／SNS,A
001,39,line_official_url,LINE 公式 URL,https://lin.ee/n24S9oy,連絡先・Web／SNS,A
001,40,tiktok_url,TikTok URL,null,連絡先・Web／SNS,A
001,41,proprietary_app_url,自社アプリ URL,null,連絡先・Web／SNS,A
001,42,establishment_date_image,設立年月,2004年10月,営業ライフサイクル,A
001,43,opening_date,開店日,2004年10月20日,営業ライフサイクル,A
001,44,last_major_renovation_date,最終大規模改装日,2024 /10 /21,営業ライフサイクル,A
001,45,weekday_opening_time,平日営業時間（開始）,10:00,営業時間・入場,A
001,46,weekday_closing_time,平日営業時間（終了）,22:40,営業時間・入場,A
001,47,regular_holidays_description,定休日（毎月第◯水曜 など）,年中無休,営業時間・入場,A
001,48,entry_method_description,入場方法（スマホ抽選／店頭抽選／並び順）,店頭抽選（並び順シャッフル）,営業時間・入場,A
001,49,numbered_ticket_distribution_start_time,整理券配布開始時刻,9:30,営業時間・入場,A
001,50,lottery_start_time,抽選実施時刻,9:30,営業時間・入場,A
001,51,membership_card_required_for_lottery,抽選参加に会員証必須か,不要,営業時間・入場,A
001,52,pachinko_exchange_rate,パチンコ交換率,28玉,交換・貯玉・再プレイ,A
001,53,slot_exchange_rate,スロット交換率,5.3枚,交換・貯玉・再プレイ,A
001,54,low_rate_pachinko_exchange_rate,低貸パチンコ交換率,null,交換・貯玉・再プレイ,A
001,55,low_rate_slot_exchange_rate,低貸スロット交換率,null,交換・貯玉・再プレイ,A
001,56,replay_limit_balls,再プレイ上限（玉）,2500玉,交換・貯玉・再プレイ,A
001,57,replay_limit_medals,再プレイ上限（メダル）,470枚,交換・貯玉・再プレイ,A
001,58,replay_with_membership_card_available,会員カードでの再プレイ可否,可,交換・貯玉・再プレイ,A
001,59,pachinko_machines_count_image,パチンコ台数,204,設置台数・構成,A
001,60,slot_machines_count_image,スロット台数,385,設置台数・構成,A
001,61,total_machines_count_image,総台数,589,設置台数・構成,A
001,62,low_rate_pachinko_machines_count,低貸パチンコ台数,0,設置台数・構成,A
001,63,low_rate_slot_machines_count,低貸スロット台数,0,設置台数・構成,A
001,64,smoking_area_available,喫煙エリア有無,有,設置台数・構成,A
001,65,heated_tobacco_area_available,加熱式たばこエリア有無,有,設置台数・構成,A
001,66,free_lockers_count,無料ロッカー数,有,設備・サービス,A
001,67,paid_lockers_count,有料ロッカー数,なし,設備・サービス,A
001,68,usb_charging_per_machine_available,各台 USB 充電有無,有,設備・サービス,A
001,69,free_wifi_available,無料 Wi-Fi 有無,有,設備・サービス,A
001,70,free_smartphone_charger_available,無料スマートフォン充電器,有,設備・サービス,A
001,71,atm_available,ATM,有,設備・サービス,A
001,72,data_lamp_manufacturer,データランプメーカー,ダイコク電機,遊技関連システム,A
001,73,web_data_Browse_url,Web データ閲覧 URL,https://www.papimo.jp,遊技関連システム,A
001,74,bill_acceptor_supported_denominations,紙幣投入機対応額,千・二千・五千・一万円,遊技関連システム,A
001,75,recruitment_info_url,採用情報 URL,https://p-island-saiyo.jp/,スタッフ・運営,A
001,76,x_handle_name,ハンドル名（@）,@akiba_island,X（旧Twitter）関連,A
001,77,x_display_name,表示名,アイランド秋葉原店,X（旧Twitter）関連,A
001,78,x_bio,自己紹介,"このたび大規模改装の末、グランドオープン致しました秋葉原のパチンコ店『アイランド秋葉原店』の『アイラ』です。年齢は20歳！血液型はA、身長は158cm、体重は？？kg…好きな事はダンスと読書、好きな物は駄菓子と牛丼かな？誕生日は4月20日、でも…来年も20歳なんですよ(笑) 内緒だけど、実は私…『悪魔』なんです！",X（旧Twitter）関連,A
001,79,x_join_date,開設日,2011年11月,X（旧Twitter）関連,A
001,80,x_verified_status,認証マーク有無,なし,X（旧Twitter）関連,A
001,81,x_followers_count,フォロワー総数,38828,X（旧Twitter）関連,A
001,82,x_following_count,フォロー総数,4883,X（旧Twitter）関連,A
001,83,line_account_id_channel_id,LINEアカウントID（チャンネルID）,null,LINE公式アカウント関連,A
001,84,line_display_name,表示名,アイランド秋葉原店,LINE公式アカウント関連,A
001,85,line_join_date,開設日,開設日：2020年5月下旬（推定）,LINE公式アカウント関連,A
001,86,line_friends_total_count,友だち総数,null,LINE公式アカウント関連,A
001,87,special_days_info_image,特定日,毎月1日・6日・8日・9日・11日・20日・22日・末日・ゾロ目日・月日ゾロ目,特定日,A
001,88,anniversary_month,周年月,10,特定日,A
001,89,anniversary_day_mmdd,周年日,20,特定日,A
001,90,daily_data_lottery_participants_count,抽選参加人数,606,データ,A
001,91,daily_data_general_entry_count,一般入場人数,null,データ,A
001,92,daily_data_top_machine_number,台番号,"",データ,A
001,93,seat_no,台番号,"",店舗別機種リンク（設置台帳）,A
001,94,customer_demographics_details_image,客層特徴年代,"",競合・商圏情報（マーケティング用）,A
001,95,customer_demographics_details_pro_percent,客層特徴プロ率,"",競合・商圏情報（マーケティング用）,A
001,96,customer_demographics_details_pro_style,プロ遊技スタイル,"",競合・商圏情報（マーケティング用）,A
001,97,trade_area_information,商圏情報,"","",A
001,98,competitor_stores_details_image,競合店舗,エスパス秋葉原駅前店／ビッグアップル秋葉原店／他8店舗,競合・商圏情報（マーケティング用）,A
001,99,regional_position_details_image,地域内ポジション,地域内トップクラスの出玉力と支持を誇る二強の一角,競合・商圏情報（マーケティング用）,A
