number,element,要素名,情報
1,store_id,店舗ID,001
2,store_name,店舗名,アイランド秋葉原店
3,day_1,1日,"[{""month"": 4, ""year"": 2025, ""total_diff"": 126700.0, ""avg_diff"": 329.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 101781.0, ""avg_diff"": 264.0}, {""month"": 6, ""year"": 2025, ""total_diff"": 78537.0, ""avg_diff"": 204.0}]"
4,day_2,2日,"[{""month"": 4, ""year"": 2025, ""total_diff"": 75162.0, ""avg_diff"": 195.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 86573.0, ""avg_diff"": 225.0}, {""month"": 6, ""year"": 2025, ""total_diff"": -36244.0, ""avg_diff"": -94.0}]"
5,day_3,3日,"[{""month"": 4, ""year"": 2025, ""total_diff"": 88265.0, ""avg_diff"": 229.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 100585.0, ""avg_diff"": 261.0}, {""month"": 6, ""year"": 2025, ""total_diff"": 134699.0, ""avg_diff"": 350.0}]"
6,day_4,4日,"[{""month"": 4, ""year"": 2025, ""total_diff"": 48505.0, ""avg_diff"": 126.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 66646.0, ""avg_diff"": 173.0}]"
7,day_5,5日,"[{""month"": 4, ""year"": 2025, ""total_diff"": 41135.0, ""avg_diff"": 107.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 136163.0, ""avg_diff"": 354.0}]"
8,day_6,6日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 264750.0, ""avg_diff"": 688.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 128916.0, ""avg_diff"": 335.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 20724.0, ""avg_diff"": 54.0}]"
9,day_7,7日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 12500.0, ""avg_diff"": 32.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 56790.0, ""avg_diff"": 148.0}, {""month"": 5, ""year"": 2025, ""total_diff"": -70783.0, ""avg_diff"": -184.0}]"
10,day_8,8日,"[{""month"": 3, ""year"": 2025, ""total_diff"": -9800.0, ""avg_diff"": -25.0}, {""month"": 4, ""year"": 2025, ""total_diff"": -56441.0, ""avg_diff"": -147.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 132871.0, ""avg_diff"": 345.0}]"
11,day_9,9日,"[{""month"": 3, ""year"": 2025, ""total_diff"": -69600.0, ""avg_diff"": -181.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 202522.0, ""avg_diff"": 526.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 120920.0, ""avg_diff"": 314.0}]"
12,day_10,10日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 11800.0, ""avg_diff"": 31.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 146649.0, ""avg_diff"": 381.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 129878.0, ""avg_diff"": 337.0}]"
13,day_11,11日,"[{""month"": 3, ""year"": 2025, ""total_diff"": 83850.0, ""avg_diff"": 218.0}, {""month"": 4, ""year"": 2025, ""total_diff"": 13897.0, ""avg_diff"": 36.0}, {""month"": 5, ""year"": 2025, ""total_diff"": 41950.0, ""avg_diff"": 109.0}]"
